text,grade
" Go for the Shootout , Stay for the Rest . The International wo n't win any awards or be hailed generations from now as an influential force in the film industry . I know this intro is generally reserved for trashy popcorn flicks that are enjoyable despite what are perhaps glaring shortages of quality in one way or another , but that is not the case for The International . No , it was just a solid thriller with what may have been the best shootout since the finale of Hot Fuzz two years ago . While devoid of gun fu , I 'm sure John Woo -LRB- co-executive producer -RRB- was heavily involved in the making of the gun fight . People , even the normally non-expendable important characters , get shot . Walls become riddled with holes . Lots of glass gets shattered . I loved it . If you enjoy action at all , you should like it . But it 's not all the movie has to offer . Sure there 's the whole current events relevancy the ads have played up , but that 's not why anyone should really see the movie . The International is Tom Tykwer 's -LRB- Run Lola Run -RRB- take on the `` man on a mission '' story . We 've seen many variations of this , recent examples including an obsessed Jake Gyllenhaal in Zodiac to a noble Tom Cruise in Valkyrie to a driven Liam Neeson in Taken . This time Clive Owen takes the leading role , and he 's determined to take down that bank . I think Clive Owen gets a lot of unfair criticism . Some call him expressionless , but have these people seen him cry in Children of Men ? Have they seen his charm and charisma in what was by far the best part of The Pink Panther ? And so what if he sometimes takes a more minimalist acting approach ? It 's realistic , and realism brings believability and emotional investment . 2009 has been good so far . We 've had a lot of 2008 Oscar contenders released wide like Gran Torino , The Wrestler , and Frost\/Nixon . We 've had Liam Neeson kick ass and take names in Paris . We 've had the enthrallingly surreal Coraline . And now we have The International , perhaps not the best of the bunch , but a respectable an entertaining entry into 2009 's cinematic repertoire . " ,7
" Just think of what will happen when it 's One-World-Currency ... . Man , they were n't kidding with the title ` The International . ' All the way through the picture we were shot all over the globe . Heck , even in the first 20 minutes , I think we 're in ten different cities . Unfortunately , the pace of the movie did n't move as fast as the planes that carried everyone in what appeared to be minute-travel . Oh , and do n't be fooled by the trailer : by no means is this an action movie . It 's barely suspenseful . Sure , there was one very long shootout and Clive Owen runs a bit , but this has to be the slowest international spy movie I 've seen . And as for Owen , apparently he 's this movie 's Bond no one can ever kill him , despite the hundreds of opportunities , yet , he 's all but Jack Ryan , an analyst . It seems that we have this huge bank kills anyone who gets close to the truth of their evil scheme , but they 've apparently either underestimated this analyst or for plot 's sake , let him live for 2 + years of investigating . That 's a pretty big plot hole . I guess you 'll have to accept that . That , and why Owen or Watts , two wonderful actors , signed up for this , other than to cash their checks at the same kind of bank they 're battling in the film . I 've worked in the financial industry for going on 14 years now and this movie 's big-bad-bank set on world domination is n't really far from the truth . So , if anyone had any idea of trying to take down one of these , for moral reasons , or whatnot , good luck . You might as well try and overthrow the government or take on organized religion . It would be easier to build a dam with salt . Stick with ` Bourne ' or even the safe-bet ` Bond ' for more enjoyable globetrotting espionage thrillers . " ,2
" politics , war , corruption , etc , etc. . When I watched this film , I got ta say first , it was past midnight , I had to wake up early and I was tired . So , it means that I was not paying attention to all the details and the story . But overall , it 's a good movie . Not some crap action movie with bad shooting scenes . This one is intelligent , well made and has some meat around the bone -LRB- no idea if that expression is used in English ... -RRB- . For me , the key scene is the shooting scene in the hall with all the white floors in the middle of the film . That was awesome ! The level of violence we see in that part is so intense comparing to the rest of the film and I think that 's a good way to surprise the audience . And it works ! Definitely one of the best shooting scene ever . The rest of the film is good but I think that depends of the mood you are when you watch it . Actually you must be pretty awake if you want to follow what 's happening on the screen . Another good point , NAOMI WATTS !!! Beautiful actress and ... Am I the only one who noticed Francis Ford Coppola when they follow the guy in the street just before the shooting scene ???!!! Anyway , for fans of spy , thrillers , action movies but still with true story and lots of politics and stuff are gon na like it . " ,7
" intelligent well directed suspense action thriller . The International , starring Clive Owen and Naomi Watts , is an action , suspense thriller that does a great job of keeping you glued to your seat without resorting to the usual shoot 'em up tactics -LRB- except for one scene in the museum -RRB- . The casting was great , the script was very well thought out , and Tom Tykwer does a great job in directing this film . The pensive viewer who looks behind the external plot will enjoy tuning into the emotional worlds of Agent Selinger -LRB- played by Clive Owen -RRB- and his partner for this case Assistant District Attorney Whitman -LRB- played by Naomi Watts -RRB- . Selinger is smart and motivated - he wants to bring down the world 's top white collar bad guys - but he 's really upset that higher powers are putting obstacles in his way at every step . Tykwer depicts Owen 's character Selinger as a tough guy with morals and emotions . Selinger is usually able to contain his rage and direct it towards action . His emotions are set to a low boil throughout most of the film but at one point Selinger gets so wound up he snaps and starts to strangle a young woman who accidentally bumps into him , thinking she is an assassin . Some critics have expressed disappointment with the role given to Naomi Watt 's character Whitman but I think that it was a fresh change to see a woman represented as one who embodies both strength and submission , logic and empathy . Tykwer deserves credit for daring in this day and age to portray a woman as one with gentle femininity , especially in a film of this genre . She complemented Selinger perfectly , he the dashing tough guy and she the pretty and supportive female . Their chemistry was superb , and my only complaint is that the script had her married and destroyed our chances of enjoying a romance that could have easily and naturally developed between them during the film . Tykwer teases us towards the end of the film as Whitman lovingly caresses Selinger 's face and runs her fingers down to his chest as they part . Two mainly irrelevant scenes that I enjoyed were in the museum where the assassin comments on how the painting depicts agony and the camera moves to the painting and we see the agonized face of a mother standing next to her dead child . Also I enjoyed the so stupid it made me laugh scene where Whitman and her boss have an fired up philosophical debate about truth . Superb film - 9\/10 " ,9
" Clive Owen , Corporate Skullduggery , A Brilliant Finale ! . This Evil Corporation vs Honest Interpol Thriller has a lot going for it -- Clive Owens menacing , broody good guy striving to maintain integrity in a dirty world , a good many flashy international locations , , each color-coded by the cinematographer , a literate . creepy turn by the excellent character actor Armin Mueller-Stahl , an insidiously effective music score that gets points not for bluster but for slinky underscoring , and as a high point , a kinetic , noisy , athletic , complex shootout in the circular confines of New York 's Guggenheim Museum . No , this dark conspiracy film has n't got constant violence and explosions , and no , it is n't always easy to follow , but yes , it 's an intelligent thriller with plenty going for it , consistently entertaining . " ,8
" Not as exciting as I thought , but at least it is n't dumb . . Released at the time America suffered from the economic recession , THE INTERNATIONAL , with its intriguing premise about the possibility that the bank is doing some dirty business with illegal arms dealings , is a pretty relevant thriller released at just the right time . It 's also well-crafted and handsomely-shot with a standout shootout sequence in the Guggenheim Museum that would have earned the late Alfred Hitchcock 's approval . However this otherwise well-crafted thriller suffers from uneven pacing , especially during the plodding midsection punctuated only by the said shootout sequence . Clive Owen plays Louis Salinger , a Interpol agent who has been part of an on-going investigation of IBBC -LRB- International Bank of Business and Credit -RRB- , an anagram of CBBI -LRB- Bank of Credit and Commerce International , real subtle ! -RRB- which suffered a real-life banking scandal during the late 80 's . They suspect that the successful banking institution may be part of illegal weapons trading , murder , and involvements with international terrorism . Salinger is partner with Manhattan Assistant District Attorney Eleanor Whitman -LRB- Naomi Watts -RRB- , who is there and doing her best but never put to much good use . Most of the time , she 's even out of the picture when the action starts or in scene that advance the plot . The plot develops in such a way that Hitchcock would have loved : The investigation moves from Berlin to Milan , from New York to Istanbul , each with some standout moments and intriguing twists that heighten the suspense without having to be too dumb or preposterous . The Guggenheim sequence alone would have earned my approval , with it 's superb editing and brilliant photography . Had it been shot in VistaVision as a Hitchcock movie would have , it would have been complete . But director Tom Twyker also manages to make even the smaller moments of the film matter , like when Salinger reevaluates an assassination attempt or even a suspenseful moment when a shooter waits for a precise moment to take a shot . It 's a small moment , but Twyker had my pulse-pumping . Nevertheless , THE INTERNATIONAL is not free from its flaws . Although the movie is never truly boring or uninteresting , it 's neither as exciting or pulse-pounding . The middle act leading to an okay climax -LRB- a chase on the rooftops in Istanbul ; not bad but Hitchcock has done better -RRB- is marred by some heavy exposition that bogs down the excitement . As much as I find nothing wrong with a dialogue-driven thriller , trying to explain every detail of what 's going on loses much of thrill . Other than that , I 'd say THE INTERNATIONAL is well worth watching . In a time where a thriller can just be an endless barrage of shootouts and implausible twists , this is an intriguing thriller , even if it 's superb individual moments standout in an uneven whole . Rating : \*\*\* 1\/2 out of 5 . " ,7
" Not quite as bad as I expected ... . This film is about the banking industry and the measures they 'll go to to remain profitable . It does n't sound too promising for the outline of an action thriller , but believe me it 's a lot better than it may first seem . The film is set in various locations in both Europe and the US and this is reflected in the international cast assembled for this picture . Louis Salinger is an Interpol agent investigating the suspicious deals being done by the International Bank of Business Credit -LRB- IBBC -RRB- . He is working with New York District Attorney Eleanor Whitman , who is looking at the case because of suspicions that the New York branch may be involved . When Stalinger 's partner , Thomas Schumer , is killed shortly after making contact with an informant from the bank , the trail looks to be going cold . But Whitman persuades the informant 's widow to give them a name , Umberto Calvini , an arms manufacturer and political activist in Italy . They meet with him and he gives them information about the bank 's dealings and how they will use debt to stay rich . He goes to speak at a political rally and is assassinated . The bank still wants to do the deal , but now have to work with his sons , and time is running out . Eventually a new informant arrives on the scene , Wilhelm Wexler , who Salinger uses to bring about the inevitable end which I 'm not going to give away . That 's a very simplified version of events ; there are plenty of twists and turns in the plot to keep you amused . It 's a very well made film that was made in some quite exotic locations around Europe and New York . There are some very good fight sequences and stunt work ; in particular the gunfight in the Guggenheim Museum in New York is excellent . I particularly liked the performance of Armin Mueller-Stahl as Wilhelm Wexler ; he certainly has a lot of screen presence . Honourable mentions go to Clive Owen as Louis Salinger , Naomi Watts as Eleanor Whitman , Ulrich Thomsen as Jonas Skarssen , Brian F. O'Byrne as The Consultant , Michel Voletti as Viktor Haas and Patrick Baladi as Martin White . Over all it 's not a bad film , a little too long and a little over complicated in the plot department . Well shot with some great locations and some good action sequences . Adequate performances with , for me , Armin Mueller-Stahl being the star turn . It 's not great , but at the same time , it 's not too bad . Recommended for TV viewing on a wet Sunday afternoon . My score : 6.5 \/ 10 " ,7
" Easily forgettable , but still a pretty decent film . . I was pretty impressed with the opening of the film , expecting it to have somewhat the same style as Michael Clayton . It did for a while , then just proceeded to bore me . Luckily that did n't last long . The fantastic shootout in the museum midway through the film is the saving grace of this dull investigative thriller . But , then again , this film could have been simply amazing if they had just done little things differently . The scene that I had just described is as close to perfection as it gets . Overall , I 'd recommend this film ... if I could remember it . It 's plot and characters are n't exactly memorable , thus making this easily forgettable . That 's a true disappointment because this film had so much potential . I think it 's true flaw remains with the cardboard characters . If they had been fleshed out a little more , the story would have been a lot more interesting . However , Clive Owen and Naomi Watts do the best they can with the material they have . All in all , it 's not a bad film . It 's just not a very good one either . " ,7
" 800 Reviews capped with a decent thriller . Usually I have really tried to make each milestone of my reviews something significant . This is my 800th review and I kind of fell behind doing my reviews so I just have to plug through the ones I have seen . Anyways I hope everyone still likes reading my reviews and I will have to really come up with something spectacular . Email me with suggestions ? The International 's trailers looked decent enough but seemed like something I had seen before . Still the concept looked solid enough but I think I still had low expectations . Clive Owen for me is a hit and miss actor and the film looked like it could have been dangerously predictable . Finally I decided to check it out and perhaps in part to low expectations but also because of the smart style , good story , and intriguing plot , the film really surprised me !! The International turned out to be a thrilling , savvy , well done action thriller with lots of twists and turns but it all pulls together and is easy to follow . On top of all this the climatic gun fight in the Guggenheim Museum is worth seeing again and again . The gun fight is brutally explosive and wickedly cool . As I said Clive Owen is hit and miss for me . He never strays too far from the same character which is okay because usually he is suave and quick and makes a good solid dramatic action star and this is the kind of film he thrives in . Owen is terrific and he jumps from scene to scene flawlessly and he is the perfect hero against the evil bank . Naomi Watts plays Owen 's partner in trying to bring down the bank . Watts ' character is just really kind of there for the ride . She never gets to really come out of her shell and her characters feel rather empty unfortunately . I think that Watts has more talent than this , she certainly proved her chops for me in The Ring . Unfortunately this movie focuses on Owen and the bank more than her . There is n't even any romantic connection between Watts and Owen and this shows in their chemistry on screen . Armin Mueller-Stahl is dark and quiet and brilliant as one of the main people from the bank . Mueller-Stahl always has this evil eccentric look to him and he just fits in perfectly . This is only the second film from director Tom Tykwer I have seen . His first film I saw was the most strange film I have ever seen entitled Perfume . There is little to no comparison in style between the films but Tykwer definitely puts forth a gritty , dark , paranoid story to follow for fans . The twist at the end of the film both closes the story but really leaves it all hanging as well . Anyone wanting a really classy , stylish thriller will not be disappointed for one moment with The International . Check this one out and you might be surprised !! 8.5 \/ 10 " ,8
" Best Thriller of 2009 ! . The International is truly an excellent thriller . I entered the theater expecting a 7.5 \/ 10 - but it was way better than that . This movie is definitely 9\/10 . The advertisements were a total dis-service to the film - it was quite a bit better than what I expected based on the advertisements . This movie may have gotten a 6.9 \/ 10 and the ads do n't make the movie look promising - but I totally recommend everyone who loves action\/thriller movies to watch this . From the very first minute of this movie - it was thrilling , suspenseful and exciting . The actors were chosen perfectly and suited the characters excellently , and the camera work was also spectacular . This film is basically about a large bank that controls so much and is using its money for illegal things . The main character - Louis Salinger - is trying to stop this bank . There is plenty of action and thrills throughout this movie and it is truly enjoyable to watch . Simply terrific . " ,9
" Pay very close attention ... . ... because if you blink , you might just miss something important . The International , the latest offering by director Tom Tykwer , is nothing short of great and is definitely hugely , HUGELY entertaining . From the very beginning to the end , I was floored . Kudos to Tykwer for presenting us delicious shots and angles with brisk editing , gripping and focused direction that gives the film an excellent visual style , and the excellent , excellent music score by Reinhold Heil , Jonny Klimek , and director Tykwer himself , that really sets the whole mood for the film as it is not cheesy , grand or overblown - it is merely filled with tension . Accompanying these techniques is the gorgeous cinematography of various European locales , not to mention New York City . A special mention goes to the film 's lone action sequence . Yes , there is only one action scene , but believe me , it will stay in your mind for quite some time . It 's a shootout that takes place in the Guggenheim Museum in New York , and it is absolutely breathtaking to watch . This is Tykwer 's film , no doubt . Plot wise , the script almost , ALMOST opts for the easy way out , but jumps right back into reality . Granted , it 's more like a conspiracy thriller rather than a shoot-em-up action movie as mis-marketed by the film 's trailer -LRB- which , sadly was the reason why many people did not like the movie -RRB- . The script has it 's flaws , but I did not notice them as I was fully gripped with the main premise . Evil bank organization . I wo n't give any more , because it 's too complicated from then onward . Because , when you watch this movie , it is ideal to pay very , VERY close attention to the screen with absolutely no distractions whatsoever . Otherwise , you will spend the rest of the movie scratching your head in disbelief . This movie is intelligent , very intelligent . Also , when you leave the theater , the film will give you something to think about . I mean , the recent economic recession caused by a scandal . More third-world countries erupting into violence . Mere coincidences ? Acting wise , it 's solid , but does not do much . Owen here is again flexing his action hero persona , but with more grit than charm . He gives a believable performance . Naomi Watts , although her acting is good , is a major flaw in the film - her character is wasted and has very little screen time compared to others . The real standout here is Armin Mueller-Stahl , who steals the show as one of the bank 's officials . Granted , this is NOT the usual Hollywood popcorn flick , this movie needs to be watched and appreciated , and if possible , make people think . A quick warning though , this film has a nearly abrupt ending , but an explanation earlier in the movie helps resolve it . This film is worth your money and time , and I recommend to see it with some of your intelligent friends . This is an excellent film , no doubt one of the year 's very best . Instead of wasting your time and money on the kiddie-like Witch Mountain and that God-forsaken Dragonball , see this movie . Or better yet , to satisfy the kids drop them off at these two movies , and take your other to see this movie . It 's hugely and criminally underrated , and should be appreciated more . Overall : 9\/10 P.S. : I went to a midnight screening of the movie . The next day I woke up and the first thing I saw on the news were some people rioting outside the RBS -LRB- is it ? -RRB- in London , and more banks and markets start to tumble from there onwards . Coincidence is highly unlikely , but it 's definitely creepy when you think about it . And I 'll think about this film for some time . " ,7
" Competent conspiracy thriller . The International is an efficiently put together international conspiracy thriller , in which Interpol agent Clive Owen and Manhattan DA Naomi Watts try to discover what is going on at an international bank where people seem to end up dead rather too frequently . The plot is convoluted but followable . It develops in unexpected directions , none of which are unreasonable . In story terms , it 's a good satisfying meal . There are a number of eye-catching urban locations , enough to give the movie the international feeling its title demands . There is surprisingly little action as such , although there is one exciting sequence in New York 's Guggenheim Museum . There are a handful of moments where you go , `` Surely the police would be there by now ? Surely he would n't just wander around carrying a pistol and no-one would react ? Surely he would n't take that bullet-proof vest off while the shoot-out is still going on ? '' Owen , who I have often thought as oak made flesh , is finally developing into a tolerable actor . He has zero chemistry with Naomi Watts , and I was very happy with that because they were n't meant to . It 's refreshing to have male and female leads who are n't required to develop a romantic interaction , and where the job they are doing defines the relationship between them . I enjoyed this , and felt it was well worth a couple of hours of my time . " ,8
" Fabulous . `` Sometimes you find your destiny on the road you took to avoid it . '' - Louis Salinger Art imitates life in the tight thriller The International by talented director Tom Tykwer -LRB- Perfume : The Story of a Murderer , Paris , je t ` aime -RRB- . An original screenplay by screenwriter Eric Singer , the title refers to the International Bank of Business and Credit -LRB- IBBC -RRB- , a mighty global bank involved in illicit activities and corruption , purportedly patterned after real corporations , the Permindex Trade Organization of Canada and the Bank of Credit and Commerce International of Pakistan . Louis Salinger -LRB- Clive Owen -RRB- is a scruffy Interpol guy whose partner gets killed in the middle of their investigation of the IBBC . He gets help from his American counterpart Eleanor Whitman -LRB- Naomi Watts -RRB- , who allows him to get as close to the truth as possible , putting her own life on the line . The pair jetset all over the world in pursuit of characters who could help them take down the impenetrable IBBC . But the truth gets more difficult to swallow when they realize how deeply infected the whole system has already become , threatening to take not just the guilty down . Tykwer employs his trademark crisp visuals to tell what could have been a very complicated story really well . Owen 's performance is just right , and while Watts ' is , too , I could n't help but be distracted by how young and fresh she looked to be playing her character . The rest of the supporting cast deliver the chills , and so do the memorable action sequences , particularly the one in the Guggenheim Museum and the piazza in Milan . " ,8
" The ultimate thriller . What a movie ! It has your attention caught from the very first scene of Clive Oven standing in the rain , watching . And pretty soon you get enveloped in the net of shocking mystery and conspiracy the main antagonist - an international bank - produces . First of all , the whole premise of a story is based on real life events and you might even learn from this film about the power these banks have over ordinary individuals , or even whole nations . Secondly , you get to see extremely entertaining spectacles of high-profile assassination and its investigation , followed by the Guggenheim part , which is , without doubt , one of the most memorable , enjoyable and realistic shoot-outs I 've ever seen in a movie . Wonderfully orchestrated , brilliantly shot and with breathtaking special effects and stunts ! And then there 's agent Louis Salinger , who has his own personal vendetta against the bank . After having suffered many painful losses during his previous investigations , he tries to protect Naomi Watts ' -LRB- She 's more beautiful than ever -RRB- character and family from the imminent danger of death the case brings while at the same time fully submerging and devoting himself to solve it . A recurring element of tingling in his ears plays wonderfully as it portrays his helplessness . Just as he lay there , on the pavement , watching a friend die with no power to turn the time back and save him , so did at the very last scene of the movie the comprehension of his vain little role trying to stop the grand scheme of endless international affairs dawned on him . You stopped this banker ? There are hundreds of others just like him , waiting to take his place . To me this was a perfect ending to an ultimate thriller . " ,10
" Do n't bother . . Me and a friend sat down to watch this movie last night , I hardly know where to start ... I kept looking on my watch to see how far we were in , and how long it would drag on . Clive Owen made it so terribly monotone , the end of the movie could n't come fast enough for me . It offered nothing new , nothing surprising , there was not one moment where I thought ` Wow ! that 's original ' ! There was no bonding with the characters at all , nor were they likable enough to Not need a background story . We kept on guessing the movie would show what ` it got ' in the next 5 minutes , and we kept repeating that to ourselves every 5 minutes , but when the movie ended it still had not happened . To me it was a big let down . I was tricked into seeing it after seeing the positive rating on IMDb , and the positive comments , so I guess enough people like this kinda movies . Just if you 're more into a fast paced stories , I suggest you skip this movie . " ,1
" Internationally Unappealing . The International stars Clive Owen as Louis Salinger , an Interpol agent with a blemished service record . After a colleague is murdered in an attempt to investigate a powerful bank 's role in the sale of illegal arms , Salinger embarks on a crusade to expose everyone involved . Naomi Watts is in this too -LRB- as an NYC District Attorney -RRB- , but mostly she cries , looks longingly at her Blackberry , and stands in the way of moving cars . There 's a lot of other stuff involved in the plot , but trying to hash it all out is a headache that 's not worth the payoff . Fairly obscure characters are referenced as if we should instantly know who they are , and there 's a lot of discussion regardinginternational legal policy , the indestructible banking system and how we 're all reliant on it , and how the only way to implement any real change is to act outside the law . While some of this may be true -LRB- and thought-provoking in its own right -RRB- , the way it 's presented is numbingly boring , and it 's done by way of tidbits of dialogue that are n't explored or revisited with any depth . As the plot hurls us from one exotic location to the other , we 're left trying to connect the dots , scrambling to remember who said what when and why it was important . In that sense , The International suffers a fate that many thrillers steeped in international politics\/intrigue seem to fall victim to an unnecessarily convoluted plot that feels like a clich and is n't interesting . Aside from a prolonged shootout at the Guggenheim which , I might add , provides ample opportunity for us to revel in the satisfaction of watching pretentious piece after pretentious piece of modern art -LRB- in the form of glass panels with images being projected on them -RRB- get totally anniahlated there 's not much here to warrant a rental . Some may suggest that there is a theme of redemption working as an undercurrent in The International , but who cares ? There 's almost no characterization , so we do n't have anything invested in any of the players . And it 's so tedious that by the time you 've reached the startlingly blunt climax you wo n't want to waste a second pondering the film 's messages , whether they 're personal , global , or present at all . When there are other well-made political thrillers out there such as State of Play , which should be making its way to DVD\/Blu-ray in the very near future I 'm not sure why anyone would devote a movie night to The International . I can say , however , that the previews reminded me that I need to pick up Close Encounters of the Third Kind in hi-def ASAP . " ,3
" You 'll wonder why you 're watching it . On paper , THE INTERNATIONAL must have ticked all the right boxes : a timely action-thriller in which banks are the bad guys , blending BOURNE-style action with conspiracy chills and high-tech interplay . Sadly , the end result is , if not disastrous , then highly disappointing , purely because it turns out to have no heart . There 's no emotional investment in this film whatsoever . Clive Owen 's bland investigator fails to elicit any sympathy from the viewer as the story progresses , and the rest of the cast are similarly cold and emotion-free ; it 's as if the movie 's populated by those automatons out of SURROGATES instead of real people . One of the worst involved is Naomi Watts , who 's the poorest I 've seen her ; it does n't help that her character , despite occupying a central role in the film and lots of screen time , is completely and utterly extraneous . Director Tom Tykwer creates a well-shot movie that looks visually impressive , and handles at least one better-than-average action sequence , an elaborate shoot-out that really works . Sadly , the rest of this enterprise fails to draw in the viewer in any sense , and it feels more like a clinical exercise than a real , involved movie . " ,4
" A Tad Weak . The International tries very hard to come across as an intelligent and sophisticated thriller , but very soon it 's obvious that it 's trying too hard -- and failing . You see every plot twist -LRB- read clich -RRB- coming miles before it arrives , and there is no suspense whatsoever . Clive Owen 's character is weak and ineffectual , Naomi Watts ' is utterly predictable and plodding . At no point are we given any reason to care about any of the characters , nor do any of them seem to care about each other . The big shootout is mildly entertaining but no more than that . Just like everywhere else in the movie , Salinger fails to do anything competent or unexpected . Even the scene where Salinger decides to become a fugitive to achieve justice is devoid of emotion -- the actors recite their lines tiredly , without any conviction or feeling . When we finally get to the ending , we get that tired old clich of the hero being too morally unsure or weak to carry out his mission , and the film 's final act is concluded by deus ex machina . As another reviewer pointed out , Salinger fails to even bring about the financial collapse of the bank , something which was easily within his grasp -LRB- or would have been if he was remotely competent -RRB- . This movie was disappointing through and through . " ,3
" Guggenheim scene is the only part worth watching . This is a conspiracy filled action thriller involving problems with banks and bankers , released in 2009 during the break down of American banks , causing the world wide recession . The film is as dull as what the politics behind the recession really are . I can imagine it involves people sitting in a room talking about things I am really not interested in . Well I do n't have to imagine anymore because I have just watched a two hour version of something that is very uninteresting . Clive Owen is Interpol Agent Louis Salinger , teaming up with District Attorney Eleanor Whitman -LRB- Watts -RRB- . They are investigating the conspiracy involved within the IBBC -LRB- International Bank of Business and Credit -RRB- , headed by Jonas Skarssen -LRB- Thomsen -RRB- . They are selling weapons to countries either side of a potential war in the hope that it will cause conflict and ultimately they can control the debt riding high between the two countries . Control the debt , control the war , control the country . Salinger and Whitman believe that this is going on but must attempt to prove it and find themselves traveling from Berlin to Milan to New York to Istanbul to do it . The film opens with Salinger 's partner being killed during an interview with a potential mole in Berlin . Once he discovers who the meeting was with , Salinger travels to Italy to speak with a politician who is also an weapons manufacturer potentially selling his weaponry to the bank . Once he is killed by an assassin from IBBC , Salinger follows the lead to New York , where he partakes in a giant shoot out inside the Guggenheim Museum -LRB- a brilliantly shot piece of cinema -RRB- . By spying on the assassin he manages to bring in the investigator from the bank , which then leads him to Turkey where he can finally confront the head of the entire organization , who seems to have no remorse for his actions . This part is very contrived . A huge problem with the film for me is exactly what I have just explained above . The film jumps around from location to location as if it is the only way to keep the film exciting . They travel but end up sitting in an office talking to one another . By half way through I was bored of all this and wanted something to spring the film into life . Finally we had the bit that I had been waiting for since the trailers . The brilliant shoot out inside the Guggenheim Museum . I 'm telling you now this is the only reason to see this movie . The shooting of it is brilliant , the direction and the effects are great and the camera work , spinning like the floors of the museum , makes you dizzy and within the action . This fifteen minute segment is the only good thing about this film and is possibly the reason Clive Owen agreed to do it . It must be the only reason that he chose to do it because his lack of enthusiasm within the role is obvious . He brings nothing new or exciting to the role and his character has nothing about him . He did n't interest me with no back story or relationships or any real reason for his actions . His lines towards the end also came from a poetry book and became very clich d. He is just a one dimensional character and is n't likable . Clive Owen may have done the film due to the museum scene , hell I would have done it for that scene , but I do n't understand why Naomi Watts agreed to be in this film . Her character is completely underused and only pops up in a few talky scenes , where she brings nothing to the scene at all . She also brings nothing to the character either , as if half way through she realized this film is not good for her and she gave up . The acting and script are poor , and the dialogue is far too expositional at times . The best bit of the film is that shoot out and I keep referring to it as it is the only thing that I really enjoyed about it . Bullets fly around the spiral floors as each set of shooters run counter clockwise from one another . Blood splatters , glass flies , it really is an entertaining sequence , even more so knowing that it was done on a sound stage , but it has very little relevance to the film . It is as if the writer put this scene in to make sure the film was n't boring because without it , it really would be . I do n't know why it was in the Guggenheim and why it was so overblown as they could have taken each other out silently on route to the museum . The film just seems very set up . It is obvious actors have been placed and dialogue is used to explain too much . It does n't flow and does n't feel like a world we can delve into . I was hoping for a little more especially from the trailers action packed activities . If it was n't for the Guggenheim this film would be terrible so thank God Tykwer decided to put it in . 1.5 \/ 5 For more reviews : www.tolli-movieworld.blogspot.com " ,3
